  data : 1 8 21 24 28 30 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 8 21 24 30 31 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 12 17 24 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 12 18 24 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 12 19 24 28 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 9 12 19 24 29 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 9 12 19 24 31 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 9 12 22 24 29 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 12 22 24 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 13 17 24 30 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 9 13 19 24 28 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 13 19 24 29 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 13 19 24 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 13 23 24 29 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 13 23 24 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 9 14 19 24 28 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 9 14 19 24 29 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 9 14 19 24 30 , kpi : 6, rept: 1 2 4 6, cover: 22 30 32 33
  data : 1 9 14 19 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 9 14 22 24 29 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 9 14 22 24 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 9 14 23 24 29 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 9 14 23 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 9 14 24 29 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 9 14 24 30 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 9 17 19 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 17 22 24 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 17 23 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 17 24 30 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 9 18 19 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 9 18 22 24 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
